item,number_cmd,PRODUIT,N°PIECE,IND PROD,REF_BAAN,full_cod1,обозначение,номер_заказа
503217,39159,HCTK.44.000,13,00,HCTK.44.000.013,.44.000.013,НСТК.44.000.013,39159
503218,39159,HCTK.44.000,14,00,HCTK.44.000.014,.44.000.014,НСТК.44.000.014,39159
503219,39159,HCTK.44.000,15,00,HCTK.44.000.015,.44.000.015,НСТК.44.000.015,39159
503220,39159,HCTK.44.000,16,00,HCTK.44.000.016,.44.000.016,НСТК.44.000.016,39159
503221,39159,HCTK.44.000,17,00,HCTK.44.000.017,.44.000.017,НСТК.44.000.017,39159
503222,39159,HCTK.44.000,18,00,HCTK.44.000.018,.44.000.018,НСТК.44.000.018,39159
503223,39159,HCTK.44.000-01,18,00,HCTK.44.000.018-01,.44.000.018-01,НСТК.44.000.018-01,39159
503224,39159,HCTK.44.000,19,00,HCTK.44.000.019,.44.000.019,НСТК.44.000.019,39159
503225,39159,HCTK.44.000,22,00,HCTK.44.000.022,.44.000.022,НСТК.44.000.022,39159
503226,39159,HCTK.44.100,1,00,HCTK.44.100.001,.44.100.001,НСТК.44.100.001,39159
503227,39159,HCTK.44.100,2,00,HCTK.44.100.002,.44.100.002,НСТК.44.100.002,39159
503228,39159,HCTK.44.300,1,00,HCTK.44.300.001,.44.300.001,НСТК.44.300.001,39159
503229,39159,HCTK.44.300,2,00,HCTK.44.300.002,.44.300.002,НСТК.44.300.002,39159
503230,39159,HCTK.44.000 SB,0,00,HCTK.44.000.000 SB,.44.000.000 ,НСТК.44.000.000 СБ,39159
503231,39159,HCTK.44.000,9,00,HCTK.44.000.009,.44.000.009,НСТК.44.000.009,39159
503232,39159,HCTK.44.000,11,00,HCTK.44.000.011,.44.000.011,НСТК.44.000.011,39159
503233,39159,HCTK.44.400,1,00,HCTK.44.400.001,.44.400.001,НСТК.44.400.001,39159
503234,39159,A.M1х3.46.20,13,00,A.M1х3.46.20.013,.13.46.20.013, А.М1х3.46.20.013,39159
503235,39159,HCTK.12.000,3,01,HCTK.12.000.003,.12.000.003,НСТК.12.000.003,39159
503236,39159,HCTK.44.000,23,00,HCTK.44.000.023,.44.000.023,НСТК.44.000.023,39159
504960,39254,HY01.350,39,C,HY01.350.39,01.350.39,HY01.350.39,39254
504961,39254,HY02-230,10,E,HY02-230-10,02-230-10,HY02-230-10,39254
504962,39254,HY02.230,11,B,HY02.230.11,02.230.11,HY02.230.11,39254
504963,39254,HY02.230,14,C,HY02.230.14,02.230.14,HY02.230.14,39254
504964,39254,HY02-230,16,F,HY02-230-16,02-230-16,HY02-230-16,39254
504965,39254,HY02.230,17,B,HY02.230.17,02.230.17,HY02.230.17,39254
504966,39254,HY02-230,18,B,HY02-230-18,02-230-18,HY02-230-18,39254
504967,39254,HY02-230,19,D,HY02-230-19,02-230-19,HY02-230-19,39254
504968,39254,HY02-230,21,C,HY02-230-21,02-230-21,HY02-230-21,39254
504969,39254,HY02.230,22,B1,HY02.230.22,02.230.22,HY02.230.22,39254
504970,39254,HY02-230,24,F,HY02-230-24,02-230-24,HY02-230-24,39254
504971,39254,HY02-230,25,G,HY02-230-25,02-230-25,HY02-230-25,39254
504972,39254,HY02.230,26,C,HY02.230.26,02.230.26,HY02.230.26,39254
504973,39254,HY02.230,27,B,HY02.230.27,02.230.27,HY02.230.27,39254
504974,39254,HY02-230,29,D,HY02-230-29,02-230-29,HY02-230-29,39254
504975,39254,HY02 230,30,C,HY02 230 30,02 230 30,HY02 230 30,39254
504976,39254,HY02.230,31,C,HY02.230.31,02.230.31,HY02.230.31,39254
504977,39254,HY02.230,33,B,HY02.230.33,02.230.33,HY02.230.33,39254
504978,39254,HY02.230,34,B,HY02.230.34,02.230.34,HY02.230.34,39254
504979,39254,HY02.230,39,D,HY02.230.39,02.230.39,HY02.230.39,39254
505873,39288,HY03-086,10,C1,HY03-086-10,03-086-10,HY03-086-10,39288
505874,39288,HY03-086,11,B1,HY03-086-11,03-086-11,HY03-086-11,39288
505875,39288,HY03-086,12,B1,HY03-086-12,03-086-12,HY03-086-12,39288
505876,39288,HY03-086,13,D,HY03-086-13,03-086-13,HY03-086-13,39288
505877,39288,HY03-086,14,F,HY03-086-14,03-086-14,HY03-086-14,39288
505878,39288,HY03-086,15,E,HY03-086-15,03-086-15,HY03-086-15,39288
505879,39288,HY03-086,16,H,HY03-086-16,03-086-16,HY03-086-16,39288
505880,39288,HY03-086,17,D,HY03-086-17,03-086-17,HY03-086-17,39288
505881,39288,HY03-086,18,A,HY03-086-18,03-086-18,HY03-086-18,39288
505882,39288,HY03-086,19,B,HY03-086-19,03-086-19,HY03-086-19,39288
505883,39288,HY03-086,20,A,HY03-086-20,03-086-20,HY03-086-20,39288
505884,39288,HY03-086,21,B,HY03-086-21,03-086-21,HY03-086-21,39288
505885,39288,HY03-086,22,A,HY03-086-22,03-086-22,HY03-086-22,39288
505886,39288,HY03-086,23,A,HY03-086-23,03-086-23,HY03-086-23,39288
505887,39288,HY03-086,24,A,HY03-086-24,03-086-24,HY03-086-24,39288
505888,39288,HY03-086,25,A,HY03-086-25,03-086-25,HY03-086-25,39288
505889,39288,HY03-086,26,B,HY03-086-26,03-086-26,HY03-086-26,39288
505890,39288,HY03-086,27,A,HY03-086-27,03-086-27,HY03-086-27,39288
505891,39288,HY03-086,29,C1,HY03-086-29,03-086-29,HY03-086-29,39288
