обозначение,наименование,индекс,коэф_входимости,заказанное_кол,уровень_критичности,примечания,наименование_материала,locmat_name,locmat,уд_вес,стоимость_мат_за_1кг_м,заг_диаметр,заг_толщина,заг_длина,заг_ширина,заг_на_кол_во,прутки,плиты,вес,стоимость_мат_ла,индустриализация_вид,индустриализация_стоимость,подряд_вид,подряд_стоимость,термообработка_вид,терообработка_стоимость,покрытие_площадь,покрытие_вид,покрытие_стоимость,резка_т_подг_мин,резка_т_маш_мин,резка_т_сум_ч,cn_т_подг_мин,cn_т_маш_мин,cn_т_сум_ч,dart_т_подг_мин,dart_т_маш_мин,dart_т_сум_ч,mx-cn_т_подг_мин,mx-cn_т_маш_мин,mx-cn_т_сум_ч,tour_т_подг_мин,tour_т_маш_мин,tour_т_сум_ч,mx\dart-tour_т_подг_мин,mx\dart-tour_т_ман_мин,mx\dart-tour_т_сум_ч,финишная_т_подг_мин,финишная_т_маш_мин,финишная_т_сум_ч,слесарная_т_подг_мин,слесарная_т_маш_мин,слесарная_т_сум_ч,шлифовальная_т_подг_мин,шлифовальная_т_маш_мин,шлифовальная_т_сум_ч,резерв_т_подг_мин,резерв_т_маш_мин,резерв_т_сум_ч,т_партии_ч,номер_заказа,full_cod1
XLC.FB-D10-13-20-150x100-Л,Втулка фрикционная,0,20,20,С1,,ЛС59-1,,,8.5,9.0,25.0,,32.0,,1.0,0.736,0.0,3.06935,27.62415,0.0,0.0,,0.0,,0.0,0.00349325,,0.0,5.0,0.25,0.1666666666666666,,,0.0,,,0.0,,,0.0,45.0,8.0,3.416666666666667,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,3.583333333333333,39335,.-10-13-20-150100-
XLC.FB-D10-13-20-030x160,Втулка фрикционная,0,20,20,С1,,POM-C белый,,,1.41,12.0,25.0,,26.0,,1.0,0.598,0.0,0.4136851875,4.96422225,0.0,0.0,,0.0,,0.0,0.00302225,,0.0,5.0,0.25,0.1666666666666666,,,0.0,,,0.0,,,0.0,45.0,8.0,3.416666666666667,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,3.583333333333333,39335,.-10-13-20-030160
XLC.FB-D10-13-20-030x055-Л,Втулка фрикционная,0,20,20,С1,,ЛС59-1,,,8.5,9.0,25.0,,15.0,,1.0,0.345,0.0,1.4387578125,12.9488203125,0.0,0.0,,0.0,,0.0,0.00215875,,0.0,5.0,0.25,0.1666666666666666,,,0.0,,,0.0,,,0.0,45.0,6.0,2.75,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,2.916666666666667,39335,.-10-13-20-030055-
XLC.FB-D10-13-20-015x130-Л,Втулка фрикционная,0,12,12,С1,,ЛС59-1,,,8.5,9.0,25.0,,22.0,,1.0,0.3036,0.0,1.266106875,11.394961875,0.0,0.0,,0.0,,0.0,0.00270825,,0.0,5.0,0.25,0.1333333333333333,,,0.0,,,0.0,,,0.0,45.0,7.0,2.15,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,2.283333333333334,39335,.-10-13-20-015130-
XLC.FB-D10-13-20-015x100-Л,Втулка фрикционная,0,30,30,С1,,ЛС59-1,,,8.5,9.0,25.0,,20.0,,1.0,0.69,0.0,2.877515625,25.897640625,0.0,0.0,,0.0,,0.0,0.00255125,,0.0,5.0,0.25,0.2083333333333333,,,0.0,,,0.0,,,0.0,45.0,7.0,4.25,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,4.458333333333333,39335,.-10-13-20-015100-
РОП.022-01,ОП_Полировальник ,5,4,4,С1,"без механообработки, продажа заготовок;
  Заготовки в заказе у Лагодича",2024.0,,,2.78,17.0,305.0,,35.0,,1.0,0.161,0.0,32.68436165750001,555.6341481775,0.0,0.0,,0.0,,0.0,0.17956875,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,39337,.022-01
1572.32.00.024,Винт,5,50,50,С1,,12Х18Н10Т,,,7.92,6.0,12.0,,15.0,,1.0,0.8624999999999999,0.0,0.7721762399999998,4.633057439999999,0.0,0.0,,0.0,,0.0,0.00079128,Хим.пас.,0.059346,5.0,0.1,0.1666666666666666,,,0.0,30.0,1.5,1.75,,,0.0,75.0,2.0,2.916666666666667,,,0.0,,,0.0,5.0,0.5,0.5,,,0.0,,,0.0,5.333333333333333,39338,1572.32.00.024
1572.32.00.062,Втулка,3,50,50,С1,,95Х18,,,7.75,6.0,12.0,,15.0,,1.0,0.8624999999999999,0.0,0.7556017500000001,4.5336105,0.0,0.0,,0.0,30..34,0.045336105,0.00079128,Хим.пас.,0.059346,5.0,0.1,0.1666666666666666,,,0.0,30.0,2.0,2.166666666666667,,,0.0,160.0,4.0,6.0,,,0.0,,,0.0,5.0,0.5,0.5,,,0.0,,,0.0,8.833333333333334,39338,1572.32.00.062
7681.01.01.121,Корпус,1,4,4,С1,без покраски и гравировки,Д16,,,2.78,7.0,,25.0,160.0,72.0,1.0,0.0,0.0576,4.0032,28.0224,2.0,40.0,,0.0,,0.0,0.03464,Хим.Окс.э.,2.598,5.0,4.0,0.35,,,0.0,240.0,75.0,9.0,,,0.0,,,0.0,,,0.0,,,0.0,10.0,20.0,1.5,,,0.0,,,0.0,10.85,39338,7681.01.01.121
7681.01.01.131,Фланец,2,4,4,С1,без покраски,Д16,,,2.78,7.0,,15.0,160.0,72.0,1.0,0.0,0.0576,2.40192,16.81344,1.5,30.0,,0.0,,0.0,0.03,Хим.Окс.э.,2.25,5.0,3.0,0.2833333333333333,,,0.0,180.0,50.0,6.333333333333333,,,0.0,,,0.0,,,0.0,,,0.0,5.0,4.0,0.35,,,0.0,,,0.0,6.966666666666667,39338,7681.01.01.131
